Filename,Predictions
2008_003395,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_003407,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_003424,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_003451,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0"
2008_003476,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
2008_003511,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
2008_003514,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_003542,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_003547,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
2008_003557,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_003580,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_003624,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_003650,"0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_003673,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_003775,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_003789,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_003812,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
2008_003825,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_003926,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_003929,"0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0"
2008_004003,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_004040,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_004046,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004048,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004124,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
2008_004125,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0"
2008_004142,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_004166,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
2008_004174,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004190,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004326,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004367,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2008_004384,"0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0"
2008_004406,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004422,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004478,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_004479,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_004501,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1"
2008_004504,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_004528,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004538,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0"
2008_004549,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
2008_004553,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0"
2008_004579,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004605,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004610,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2008_004653,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004656,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_004688,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004689,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004701,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
2008_004705,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
2008_004756,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_004795,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004873,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004881,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_004904,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004942,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_004984,"0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_005063,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_005070,"0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0"
2008_005105,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
2008_005175,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_005197,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_005260,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_005270,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_005359,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_005361,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_005378,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_005417,"0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0"
2008_005469,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_005510,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_005534,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_005552,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_005601,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
2008_005631,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_005643,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
2008_005686,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_005788,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_005805,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0"
2008_005812,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_005863,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_005865,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_005869,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_005881,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_005889,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_006024,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_006037,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_006041,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
2008_006068,"0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0"
2008_006087,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0"
2008_006113,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_006205,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0"
2008_006222,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_006240,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_006262,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
2008_006267,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_006307,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_006327,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_006403,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_006416,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_006463,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_006467,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_006587,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_006588,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_006614,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
2008_006690,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_006696,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0"
2008_006708,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
2008_006722,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_006743,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_006758,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
2008_006779,"0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0"
2008_006837,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
2008_006890,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_006944,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0"
2008_006959,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_006980,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_007019,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_007084,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2008_007182,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0"
2008_007184,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_007188,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_007190,"0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0"
2008_007214,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_007216,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_007219,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_007227,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_007231,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2008_007269,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_007402,"0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0"
2008_007452,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_007461,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_007586,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_007596,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
2008_007632,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_007673,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_007693,"0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0"
2008_007745,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_007797,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_007798,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
2008_007853,"0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0"
2008_007875,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
2008_007884,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_007933,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
2008_007936,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_007949,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
2008_007966,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_007993,"0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0"
2008_008084,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_008091,"0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0"
2008_008115,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
2008_008221,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2008_008234,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2008_008278,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_008297,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2008_008337,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_008346,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_008354,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_008500,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0"
2008_008506,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_008552,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0"
2008_008554,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0"
2008_008570,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_008636,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_008662,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2008_008675,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
2008_008679,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_008711,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_008718,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_008765,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2009_000022,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2009_000066,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
2009_000093,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2009_000157,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1"
2009_000184,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
2009_000212,"0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0"
2009_000219,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0"
2009_000293,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
2009_000298,"0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0"
2009_000378,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2009_000421,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
